# tau=beta*t, lambda=exp[(gamma_dot/beta)*tau], sigma_norm=sigma/mu
# tau lambda sigma_over_mu
1.846899911570137665e+00 1.202845489583181937e+00 2.513012496650322558e-01
1.854228879473193814e+00 1.203727374307498543e+00 2.513076350482165711e-01
1.861557847376249741e+00 1.204609905599203667e+00 2.513111196693569860e-01
1.868886815279305891e+00 1.205493083932338116e+00 2.513117369585043392e-01
1.876215783182362040e+00 1.206376909781290196e+00 2.513095200603001067e-01
1.883544751085418190e+00 1.207261383620796380e+00 2.513045018358429084e-01
1.890873718988474339e+00 1.208146505925940861e+00 2.512967148645485205e-01
1.898202686891530266e+00 1.209032277172156222e+00 2.512861914460020052e-01
1.905531654794586416e+00 1.209918697835223433e+00 2.512729636018028456e-01
1.912860622697642565e+00 1.210805768391272741e+00 2.512570630774029756e-01
1.920189590600698715e+00 1.211693489316783001e+00 2.512385213439362053e-01
1.927518558503754642e+00 1.212581861088582791e+00 2.512173696000422618e-01
1.934847526406810791e+00 1.213470884183849963e+00 2.511936387736812271e-01
1.942176494309866941e+00 1.214360559080112312e+00 2.511673595239425349e-01
1.949505462212923090e+00 1.215250886255248020e+00 2.511385622428444209e-01
1.956834430115979240e+00 1.216141866187485210e+00 2.511072770571279311e-01
1.964163398019035167e+00 1.217033499355402837e+00 2.510735338300416064e-01
1.971492365922091317e+00 1.217925786237930907e+00 2.510373621631198926e-01
1.978821333825147466e+00 1.218818727314350259e+00 2.509987913979530028e-01
1.986150301728203615e+00 1.219712323064293003e+00 2.509578506179502289e-01
1.993479269631259765e+00 1.220606573967743635e+00 2.509145686500944272e-01
2.000808237534315914e+00 1.221501480505037485e+00 2.508689740666897317e-01
2.008137205437372064e+00 1.222397043156863150e+00 2.508210951871012728e-01
2.015466173340427769e+00 1.223293262404260506e+00 2.507709600794875149e-01
2.022795141243483918e+00 1.224190138728623367e+00 2.507185965625243762e-01
2.030124109146540068e+00 1.225087672611697487e+00 2.506640322071219673e-01
2.037453077049596217e+00 1.225985864535582115e+00 2.506072943381337792e-01
2.044782044952652367e+00 1.226884714982730218e+00 2.505484100360576560e-01
2.052111012855708516e+00 1.227784224435948257e+00 2.504874061387298845e-01
2.059439980758764666e+00 1.228684393378396855e+00 2.504243092430098461e-01
2.066768948661820815e+00 1.229585222293590352e+00 2.503591457064591186e-01
2.074097916564876964e+00 1.230486711665397914e+00 2.502919416490113069e-01
2.081426884467932670e+00 1.231388861978043980e+00 2.502227229546341580e-01
2.088755852370988819e+00 1.232291673716106928e+00 2.501515152729843483e-01
2.096084820274044969e+00 1.233195147364521516e+00 2.500783440210547215e-01
2.103413788177101118e+00 1.234099283408577330e+00 2.500032343848124228e-01
2.110742756080157267e+00 1.235004082333919895e+00 2.499262113208311487e-01
2.118071723983213417e+00 1.235909544626551115e+00 2.498472995579136269e-01
2.125400691886269566e+00 1.236815670772828613e+00 2.497665235987076293e-01
2.132729659789325716e+00 1.237722461259466833e+00 2.496839077213137137e-01
2.140058627692381865e+00 1.238629916573537493e+00 2.495994759808847219e-01
2.147387595595438015e+00 1.239538037202469134e+00 2.495132522112185058e-01
2.154716563498493720e+00 1.240446823634047124e+00 2.494252600263414388e-01
2.162045531401549869e+00 1.241356276356415433e+00 2.493355228220852648e-01
2.169374499304606019e+00 1.242266395858075301e+00 2.492440637776555667e-01
2.176703467207662168e+00 1.243177182627886346e+00 2.491509058571924895e-01
2.184032435110718318e+00 1.244088637155066124e+00 2.490560718113235261e-01
2.191361403013774467e+00 1.245000759929191458e+00 2.489595841787087260e-01
2.198690370916830616e+00 1.245913551440197997e+00 2.488614652875777433e-01
2.206019338819886766e+00 1.246827012178380656e+00 2.487617372572594465e-01
2.213348306722942915e+00 1.247741142634393174e+00 2.486604219997035070e-01
2.220677274625998621e+00 1.248655943299249893e+00 2.485575412209939661e-01
2.228006242529054770e+00 1.249571414664324642e+00 2.484531164228552802e-01
2.235335210432110919e+00 1.250487557221351631e+00 2.483471689041505115e-01
2.242664178335167069e+00 1.251404371462425669e+00 2.482397197623718021e-01
2.249993146238223218e+00 1.252321857880001943e+00 2.481307898951226609e-01
2.257322114141279368e+00 1.253240016966897574e+00 2.480204000015928389e-01
2.264651082044335517e+00 1.254158849216290061e+00 2.479085705840252674e-01
2.271980049947391667e+00 1.255078355121719058e+00 2.477953219491754455e-01
2.279309017850447816e+00 1.255998535177085706e+00 2.476806742097627800e-01
2.286637985753503521e+00 1.256919389876653526e+00 2.475646472859141800e-01
2.293966953656559671e+00 1.257840919715048411e+00 2.474472609066001583e-01
2.301295921559615820e+00 1.258763125187258636e+00 2.473285346110629113e-01
2.308624889462671970e+00 1.259686006788635515e+00 2.472084877502370159e-01
2.315953857365728119e+00 1.260609565014893851e+00 2.470871394881619665e-01
2.323282825268784269e+00 1.261533800362111490e+00 2.469645088033873004e-01
2.330611793171840418e+00 1.262458713326729987e+00 2.468406144903703137e-01
2.337940761074896567e+00 1.263384304405555048e+00 2.467154751608652830e-01
2.345269728977952717e+00 1.264310574095756534e+00 2.465891092453057765e-01
2.352598696881008866e+00 1.265237522894869127e+00 2.464615349941790545e-01
2.359927664784064572e+00 1.266165151300791658e+00 2.463327704793927819e-01
2.367256632687120721e+00 1.267093459811788225e+00 2.462028335956341629e-01
2.374585600590176870e+00 1.268022448926488854e+00 2.460717420617214435e-01
