# tau=beta*t, lambda=exp[(gamma_dot/beta)*tau], sigma_norm=sigma/mu
# tau lambda sigma_over_mu
5.955779713380077167e-02 1.024109156267375198e+00 1.641440355968718789e-01
6.184848163894695466e-02 1.025047950688396936e+00 1.700492203075762154e-01
6.413916614409313766e-02 1.025987605696358607e+00 1.759253875950115842e-01
6.642985064923931371e-02 1.026928122080154715e+00 1.817726628616918860e-01
6.872053515438550364e-02 1.027869500629403410e+00 1.875911709653392268e-01
7.101121965953167969e-02 1.028811742134446039e+00 1.933810362213377321e-01
7.330190416467786962e-02 1.029754847386348704e+00 1.991423824051886671e-01
7.559258866982405956e-02 1.030698817176902926e+00 2.048753327549472647e-01
7.788327317497023561e-02 1.031643652298625868e+00 2.105800099736455655e-01
8.017395768011642554e-02 1.032589353544761002e+00 2.162565362317065976e-01
8.246464218526260159e-02 1.033535921709279215e+00 2.219050331693505906e-01
8.475532669040879152e-02 1.034483357586879038e+00 2.275256218989823442e-01
8.704601119555496758e-02 1.035431661972987749e+00 2.331184230075742658e-01
8.933669570070115751e-02 1.036380835663761601e+00 2.386835565590322561e-01
9.162738020584733356e-02 1.037330879456086485e+00 2.442211420965536561e-01
9.391806471099352349e-02 1.038281794147579262e+00 2.497312986449755079e-01
9.620874921613969954e-02 1.039233580536587764e+00 2.552141447131072716e-01
9.849943372128588948e-02 1.040186239422191461e+00 2.606697982960543558e-01
1.007901182264320655e-01 1.041139771604202569e+00 2.660983768775325720e-01
1.030808027315782555e-01 1.042094177883166273e+00 2.714999974321687382e-01
1.053714872367244315e-01 1.043049459060362061e+00 2.768747764277940671e-01
1.076621717418706214e-01 1.044005615937803277e+00 2.822228298277192349e-01
1.099528562470168114e-01 1.044962649318238901e+00 2.875442730930088953e-01
1.122435407521629874e-01 1.045920560005153988e+00 2.928392211847391513e-01
1.145342252573091774e-01 1.046879348802769671e+00 2.981077885662423710e-01
1.168249097624553534e-01 1.047839016516044497e+00 3.033500892053467846e-01
1.191155942676015433e-01 1.048799563950675084e+00 3.085662365766039805e-01
1.214062787727477194e-01 1.049760991913096131e+00 3.137563436635007474e-01
1.236969632778939093e-01 1.050723301210482186e+00 3.189205229606713599e-01
1.259876477830400854e-01 1.051686492650747429e+00 3.240588864760864940e-01
1.282783322881862753e-01 1.052650567042546559e+00 3.291715457332411998e-01
1.305690167933324652e-01 1.053615525195275904e+00 3.342586117733292173e-01
1.328597012984786274e-01 1.054581367919073198e+00 3.393201951574043029e-01
1.351503858036248173e-01 1.055548096024819804e+00 3.443564059685416123e-01
1.374410703087710073e-01 1.056515710324139157e+00 3.493673538139696610e-01
1.397317548139171972e-01 1.057484211629399651e+00 3.543531478272153312e-01
1.420224393190633594e-01 1.058453600753713753e+00 3.593138966702200121e-01
1.443131238242095493e-01 1.059423878510939998e+00 3.642497085354594044e-01
1.466038083293557392e-01 1.060395045715682549e+00 3.691606911480416753e-01
1.488944928345019292e-01 1.061367103183292082e+00 3.740469517678015055e-01
1.511851773396481191e-01 1.062340051729866897e+00 3.789085971913874196e-01
1.534758618447942813e-01 1.063313892172254027e+00 3.837457337543364599e-01
1.557665463499404712e-01 1.064288625328048132e+00 3.885584673331304306e-01
1.580572308550866611e-01 1.065264252015594382e+00 3.933469033472609677e-01
1.603479153602328511e-01 1.066240773053987567e+00 3.981111467612669652e-01
1.626385998653790133e-01 1.067218189263073436e+00 4.028513020867724448e-01
1.649292843705252032e-01 1.068196501463449355e+00 4.075674733845122688e-01
1.672199688756713931e-01 1.069175710476464980e+00 4.122597642663486939e-01
1.695106533808175830e-01 1.070155817124222697e+00 4.169282778972761561e-01
1.718013378859637452e-01 1.071136822229578733e+00 4.215731169974212267e-01
1.740920223911099352e-01 1.072118726616143602e+00 4.261943838440280241e-01
1.763827068962561251e-01 1.073101531108282547e+00 4.307921802734375749e-01
1.786733914014023150e-01 1.074085236531116649e+00 4.353666076830566833e-01
1.809640759065484772e-01 1.075069843710523720e+00 4.399177670333208612e-01
1.832547604116946671e-01 1.076055353473137854e+00 4.444457588496386058e-01
1.855454449168408571e-01 1.077041766646351872e+00 4.489506832243411738e-01
1.878361294219870470e-01 1.078029084058316212e+00 4.534326398186076523e-01
1.901268139271332369e-01 1.079017306537941145e+00 4.578917278643944155e-01
1.924174984322793991e-01 1.080006434914896563e+00 4.623280461663461516e-01
1.947081829374255890e-01 1.080996470019612410e+00 4.667416931036994510e-01
1.969988674425717790e-01 1.081987412683280692e+00 4.711327666321860064e-01
